LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,P stuck,P diffusive,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID36688,36688,4,5169.0,328.8147969363455,393.9261118620068,0.0,75.0,75,40.60205537341491,1,,6.960795674005407,7.0,0.0,7.0,36043.0,0.5224423560727692,,,0.996897022093037,13.30286339561074,0.5559455831800053,-0.2916576487846224,54.36939462909593,31.505753038999806,1.2854780997116135,1.7256973531721038,5178.999999999996,303.87750399523725,0.70478828076712,0.938564697354113,4.222557721569476
ID36433,36433,4,2855.0,358.61502306299997,426.3821743446021,0.0,37.0,37,30.143250821894288,1,,5.978969505783386,6.0,0.0,6.0,17058.0,0.3546614896086848,,,0.9969594087337498,16.832574269379077,0.755661659087917,-0.09072022209520275,34.974166378711836,26.494052928471966,0.10930650767934824,1.3200761119159188,2854.500000000001,216.3554991915348,0.7663091915299636,0.9348288848861963,4.0495140921720925
ID36439,36439,4,2285.0,364.0051523788643,418.3990718409706,0.0,38.0,38,26.942637128576234,1,,5.992084432717678,6.0,0.0,6.0,13626.0,0.21783391497510748,,,0.9933012561585582,27.41513995740988,0.7678383496752476,0.15393660218425628,33.12721929357557,23.257617824495867,0.1600330972119649,1.4243599470744006,2280.4999999999995,188.29255710809716,0.808301963485451,0.9439155629139073,3.9429213581801026
ID36954,36954,4,7377.0,278.71488909969736,372.45740163527125,0.0,107.0,107,48.464509180947985,1,,5.981308411214953,6.0,0.0,6.0,44160.0,0.3343879516181926,,,0.9981892284477287,17.871122698279663,-0.09169612692382337,-0.11747869201206562,67.38343210846134,37.04090797689241,2.335398150756133,1.8191625364717785,7379.0,355.7700904256886,0.7326026850114742,0.9563864947184239,4.141624098711044
ID36699,36699,4,5379.0,367.5860324825986,395.67815931941226,0.0,70.0,70,41.411284836565656,1,,5.979948013367991,6.0,0.0,6.0,32208.0,0.346312149661895,,,0.9983862976020947,17.253565013051137,1.0831922072843192,0.27370557095568343,57.461733469498995,30.861485835387946,0.3152128499180935,1.8619237510466635,5387.500000000002,316.2547306333115,0.6768977743162203,0.907597708894879,4.3086715487143366
ID36957,36957,4,7568.0,283.23083778966134,378.0511982570806,0.0,108.0,108,49.099082710504256,1,,5.983361943747524,6.0,0.0,6.0,45312.0,0.3155386821290769,,,0.9978825737609983,18.942275241595908,0.2574807824695082,-1.0246491915431004,63.35146036464413,38.294651157878704,-0.8013219504075861,1.6543161629404284,7573.499999999996,362.6799582845678,0.7235347254554126,0.9359243697478985,4.1674964852634915
ID36703,36703,4,4775.0,332.61178585139425,397.11815516699824,0.0,74.0,74,38.98831698689613,1,,5.97487963156793,6.0,0.0,6.0,28542.0,0.38745658312674774,,,0.9978960823220663,15.404532908159972,-0.20790990756460737,-0.16665027868496765,53.176878724837714,28.87148698657802,1.1959010819164775,1.8418475899616447,4775.500000000003,285.9055167532153,0.7341480380201441,0.9377515954835548,4.137262823763764
ID36449,36449,4,3709.0,373.1389151687165,425.25861602919315,0.0,41.0,41,34.3159937046406,1,,5.991900647948164,6.0,0.0,6.0,22194.0,0.22032616398401997,,,0.9967520873253585,27.15135654793778,-0.9060568243465437,0.25164624002943986,37.97560880740509,31.708145017453703,3.016342019853938,1.1976610043413598,3699.4999999999986,234.0672279170516,0.8485387347992326,0.9652968036529677,3.8483015522537727
ID36453,36453,4,4004.0,374.617507788162,449.221246105919,0.0,34.0,34,35.73819271189382,1,,5.956651718983558,6.0,0.0,6.0,23910.0,0.5082075916082304,,,0.9978239298986995,11.708136029636242,-1.197793013288801,-0.4026188390084982,47.01383105082853,28.570954297799993,0.5021388466167164,1.6455114015722137,4012.500000000001,252.6595547917378,0.789866066299144,0.9467909391222277,3.98867089185155
ID36202,36202,4,2519.0,350.1002250016544,380.53427966382105,0.0,6.0,6,28.313661867619263,1,,4.976162097735399,5.0,0.0,5.0,12525.0,0.34448281888302973,,,0.9965530629055749,14.420373847817524,0.6491473651422768,-0.555436322654237,36.58918852147434,23.04393754731207,-1.1245557104865362,1.5878010624856185,2518.500000000001,203.93190191884128,0.7609944335263091,0.9301939058171749,4.063630319300955
