LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID11462,11462,94,5.0,174.7962962962963,117.27777777777777,0.0,222.0,222,1.196826841204298,1,,144.0,137.0,109.0,194.0,720.0,34.87119154832539,0.3422662394407224,2.1059647445149223,-0.6135664808516893,-2.5315528519859454,4.623530326983037,1.0911843120108615,1.3443575868975552,4.237167155072712,4.5,9.886349517372675,0.5785627347906083,1.0,4.660469856609714
ID11960,11960,94,3.0,176.2777777777778,112.3888888888889,0.0,224.0,224,0.9772050238058398,1,,121.66666666666667,115.0,106.0,144.0,365.0,19.857828011475306,0.2774419344575247,2.661342661339656,0.7222222222221986,-2.8888888888888946,4.618205515714206,1.0826716097814757,-1.3112232696716353,4.265564437074632,3.0,7.23606797749979,0.7199889689185959,1.0,4.1777457946839345
ID11533,11533,94,1.0,173.16666666666666,114.83333333333333,0.0,225.0,225,0.5641895835477563,1,,112.0,112.0,112.0,112.0,112.0,NaN,0.17894736842105263,NaN,0.6093742383786946,-0.570229200769534,1.8500048694887372,0.713019489902995,2.2506380259973824,2.5946063125713814,1.0,5.23606797749979,0.45835219100318675,1.0,5.23606797749979
ID11979,11979,94,1.0,175.16666666666666,104.83333333333333,0.0,226.0,226,0.5641895835477563,1,,120.0,120.0,120.0,120.0,120.0,NaN,0.09256449165402121,NaN,0.6093742383786946,-0.570229200769534,1.8500048694887372,0.713019489902995,2.2506380259973824,2.5946063125713814,1.0,5.23606797749979,0.45835219100318675,1.0,5.23606797749979
ID11505,11505,94,5.0,175.23333333333332,108.83333333333333,0.0,227.0,227,1.2615662610100802,1,,144.4,148.0,106.0,191.0,722.0,33.21596001924376,0.32514471269236206,2.1333581332734215,-0.23260999800621307,0.12262962075219214,2.479587853300955,1.100483913702758,0.5167219775017262,2.253179553491133,5.0,11.70820393249937,0.45835219100318664,0.7692307692307693,5.23606797749979
ID11765,11765,94,1.0,175.16666666666666,110.83333333333333,0.0,228.0,228,0.5641895835477563,1,,111.0,111.0,111.0,111.0,111.0,NaN,0.13073005093378612,NaN,0.6093742383786946,-0.570229200769534,1.8500048694887372,0.713019489902995,2.2506380259973824,2.5946063125713814,1.0,5.23606797749979,0.45835219100318675,1.0,5.23606797749979
ID11586,11586,94,2.0,173.5,110.83333333333333,0.0,229.0,229,0.7978845608028654,1,,150.5,163.0,138.0,163.0,301.0,17.67766952966369,0.2826704545454545,3.752379985496612,0.18041426413253206,-0.09993889671568146,1.4560262660179968,1.1206900075381765,-0.9009660445780739,1.2992230288699143,2.0,6.47213595499958,0.5999908074321633,1.0,4.576491222541474
ID11848,11848,94,1.0,174.16666666666666,115.83333333333333,0.0,230.0,230,0.5641895835477563,1,,111.0,111.0,111.0,111.0,111.0,NaN,0.07073954983922832,NaN,0.6093742383786946,-0.570229200769534,1.8500048694887372,0.713019489902995,2.2506380259973824,2.5946063125713814,1.0,5.23606797749979,0.45835219100318675,1.0,5.23606797749979
ID11955,11955,94,1.0,176.16666666666666,119.83333333333333,0.0,231.0,231,0.5641895835477563,1,,179.0,179.0,179.0,179.0,179.0,NaN,0.3681528662420382,NaN,0.6093742383786946,-0.570229200769534,1.8500048694887372,0.713019489902995,2.2506380259973824,2.5946063125713814,1.0,5.23606797749979,0.45835219100318675,1.0,5.23606797749979
ID12168,12168,94,1.0,175.16666666666666,120.83333333333333,0.0,232.0,232,0.5641895835477563,1,,122.0,122.0,122.0,122.0,122.0,NaN,0.30948121645796073,NaN,0.6093742383786946,-0.570229200769534,1.8500048694887372,0.713019489902995,2.2506380259973824,2.5946063125713814,1.0,5.23606797749979,0.45835219100318675,1.0,5.23606797749979
ID11910,11910,94,1.0,181.16666666666666,124.83333333333333,0.0,233.0,233,0.5641895835477563,1,,129.0,129.0,129.0,129.0,129.0,NaN,0.28145695364238416,NaN,0.6093742383786946,-0.570229200769534,1.8500048694887372,0.713019489902995,2.2506380259973824,2.5946063125713814,1.0,5.23606797749979,0.45835219100318675,1.0,5.23606797749979
ID11733,11733,94,118.0,181.56204906204908,119.97763347763347,0.0,234.0,234,6.063397715326599,1,,198.68695652173912,229.0,76.0,255.0,22849.0,58.857598775675946,0.6698991691091044,2.7084199452365927,-0.12313876771262909,0.053343504234190556,8.777155147739565,4.642195129314376,0.8097400071186209,1.8907337807309916,115.5,51.057405487470106,0.5567681251579627,0.8492647058823529,4.750810963000317
ID12212,12212,94,113.0,180.3162962962963,119.38444444444444,0.0,235.0,235,5.984134206021491,1,,204.95454545454547,234.0,97.0,255.0,22545.0,53.62636390577673,0.6713717269836597,3.0704299664846517,-0.177741585378455,0.0015599281704978501,9.0633572949685,4.090871506162119,0.6586518852067653,2.2155076934868956,112.5,55.87891811529113,0.45275828727722756,0.8093525179856115,5.2683149232920226
ID11725,11725,94,108.0,179.66066066066065,119.22672672672672,0.0,236.0,236,5.944106103225343,1,,203.00892857142858,238.0,40.0,255.0,22737.0,59.08331200432367,0.6789780069658967,2.7790157120666636,-0.09837802534526563,-0.051471826104391605,9.724431298237175,3.697078164718184,0.6956910935685414,2.6303017856206012,111.0,54.85691592350662,0.4635216964015553,0.8638132295719845,5.206788037111889
ID11946,11946,94,97.0,180.7108843537415,118.98979591836735,0.0,237.0,237,5.585191925620057,1,,213.44210526315788,246.0,54.0,255.0,20277.0,57.81954977294655,0.6466370130236275,2.8993328244598575,-0.057711325567299826,0.2187619280700291,10.259475207447101,3.356920708461349,0.6414966265406095,3.0562161273536756,98.0,50.51840540855085,0.4825437246885943,0.8596491228070176,5.10312957701678
